gene_name,count
WASHC2C,1
CPN1,1
APCDD1,1
TUBB8,1
TTC39C,1
SERPINB11,1
PTPRM,1
TM9SF3,1
TCF4,1
SHLD2,1
SORBS1,1
RAB31,1
MGMT,1
ZNF518A,1
CCNY,1
CPXM2,1
ZMYND11,1
SCD,1
GRID1,1
CCDC68,1
TACC2,1
MICU1,1
CPEB3,1
ANK3,1
ADK,1
GBF1,1
PSAP,1
VTI1A,1
INPP5A,1
ADD3,1
WAPL,1
HPSE2,1
CELF4,1
USP54,1
ARMC4,1
MBP,1
KIAA1328,1
ADARB2,1
OPALIN,1
WBP1L,1
C10orf67,1
CAMK1D,1
PRKG1,1
DCC,1
CTNNA3,1
PCGF5,1
BNIP3,1
MALRD1,1
SALL3,1
PHLPP1,1
YME1L1,1
KCNG2,1
ZNF511,1
ZNF397,1
OPTN,1
KIF11,1
DTNA,1
PLCE1,1
EXOC6,1
KIAA1217,1
MYO5B,1
PARD3,1
SHTN1,1
MFSD13A,1
RNF165,1
SORCS3,1
RRP12,1
TSPAN14,1
TRAPPC8,1
SMAD2,1
