l,ENSG00000174013.7,ENSG00000109805.8,ENSG00000127329.13,ENSG00000269113.3,ENSG00000049239.11,ENSG00000267206.4,ENSG00000175643.8,ENSG00000085999.10,ENSG00000167178.14
Luminal A    ,70825.6139013,45214.599794300004,89617.6873793,14032.338832899999,232427.58815,1990.41069886,56982.78330240001,43229.7745854,1919.4527695
Luminal A    ,84313.5151883,33888.5548943,35178.978152699994,13246.3852977,152172.258997,1412.18753144,54930.748804999996,21248.212378700002,2237.31382266
Luminal A    ,98586.0808625,27754.410174799996,41236.1800965,21312.785433700003,310354.839213,0.0,99935.6738901,19625.3643745,8941.31531616
Luminal A    ,97516.94293060001,45261.2761417,39602.2735796,9976.604861599999,181590.072727,9075.27074936,253317.484752,46308.0382205,9001.78798014
Luminal A    ,162775.316661,83278.13345810001,8825.80772497,3663.36184462,275495.011159,0.0,431694.167524,67265.0997807,1705.67823533
Luminal A    ,86762.5754158,39528.662455800004,37067.87896369999,730.3079757419999,134399.713124,0.0,95981.7013486,20791.040447599997,4322.21980228
Luminal A    ,141427.676261,45618.3798611,82866.0520351,28552.699476200003,254225.312294,4281.57448377,65602.1210422,11844.0263373,11403.730236
Luminal A    ,71955.5843629,53726.54345569999,68772.7883302,77683.7596655,315518.132416,10723.662336200001,90377.0953017,49574.6808075,12249.5929665
Luminal A    ,101074.392631,62169.75287619999,23687.252651,4519.55591907,342708.926277,222.49050869400003,58295.7258398,31904.6679207,3310.33493463
Luminal A    ,79935.7383337,21826.0116598,66919.8562203,15392.6612471,318276.175346,515.27414259,118333.536702,23596.0104135,15900.949577700001
Luminal A    ,92386.17074,36407.2541075,82357.957607,88189.35477060001,451311.99318,4774.76047968,48819.6341106,15171.7143555,5262.3323169
Luminal A    ,118100.722885,32820.559828,49058.9576785,8287.81629525,337271.797968,2274.07572857,91817.49141789999,31389.873686299998,3289.50775669
Luminal A    ,116171.92751300002,49425.4847061,100026.456359,18486.7274663,363880.159678,2055.97666312,51342.4224083,10221.954957,20464.1035637
Luminal A    ,105992.644328,39406.5670894,58942.570288999996,9315.52227853,282112.96754499996,2107.02714624,69500.69216569999,28119.169407499998,5660.32587609
Luminal A    ,144271.764608,22145.5077125,63651.7421882,33274.0817162,190371.938002,14771.231576700002,42390.1958797,24623.1477344,16204.218677899999
Luminal A    ,95844.1206869,43991.3817748,56524.2368967,27120.505278900004,250309.893304,7788.07805184,147141.208605,41923.441681699995,14637.6823951
Luminal A    ,87606.96654169999,33653.5966094,99716.9215001,24825.756888900003,360075.145806,1787.63137849,63910.0463008,14137.302311700001,15159.396677899998
Luminal A    ,107561.173217,34106.0092141,110005.45996400001,27350.692285900004,204840.536131,4768.60919936,71969.188284,21057.0580763,9854.16169168
Luminal A    ,115613.029676,23829.4760181,95000.51744960001,61977.9599512,353089.903454,8466.78957009,62660.1442077,21095.859586000002,11714.9274344
Luminal A    ,214123.564266,79387.4241538,18216.8373027,3624.81872834,222636.46266,771.241137797,117757.85209700001,49646.3671775,3187.48488601
Luminal A    ,105663.745127,46776.8094382,53629.0891099,22889.719833400002,246552.216237,0.0,51227.241715699995,16056.141669999999,3298.76842543
Luminal A    ,121832.358674,50439.5702918,113404.12646199999,60506.260966199996,428789.951411,5991.35930027,71087.6702225,25084.6201339,6390.15813405
Luminal A    ,156221.441732,35832.3611105,65358.827940400006,28853.0039125,305990.231726,0.0,128030.05271300001,24043.337747,1857.67657194
Luminal A    ,173625.593704,40199.9464939,52475.989259099995,6327.89106578,169628.560674,1471.02867859,136411.359532,21094.239825200002,11267.6312083
Luminal A    ,70104.2053677,53085.4460834,36685.4749148,7953.81526356,181155.053697,6551.58587688,104546.040217,37030.7382558,5198.82997443
Luminal A    ,165499.075934,80253.8976253,68388.8900352,10998.776609100001,186612.437737,155.484578573,159860.251948,60704.142008,6511.74817905
